sku,forecast,actual,volume,inventory_on_hand,safety_stock,lead_time_days,supplier_otif,demand_volatility_cv,margin
SKU-00001,177,128,161,4046,979,19,0.858,0.166,11.78
SKU-00002,1542,1528,1315,3114,610,30,0.722,0.308,6.3
SKU-00003,781,622,714,1704,763,20,0.782,0.059,10.98
SKU-00004,1381,1399,1181,4424,270,36,0.816,0.249,4.32
SKU-00005,218,240,235,2293,1000,24,0.731,0.287,12.22
SKU-00006,1500,1395,1666,2327,573,59,0.931,0.125,4.76
SKU-00007,98,66,101,3999,80,53,0.665,0.263,6.73
SKU-00008,407,538,409,1989,273,38,0.843,0.243,1.27
SKU-00009,176,149,221,1018,447,53,0.685,0.449,13.33
SKU-00010,1641,1580,1836,3521,853,26,0.686,0.061,9.44
SKU-00011,998,839,1107,3774,306,43,0.708,0.418,6.98
SKU-00012,1050,1086,1108,746,907,18,0.849,0.339,11.4
SKU-00013,873,853,804,929,361,46,0.97,0.232,14.62
SKU-00014,207,252,236,673,371,10,0.903,0.221,9.04
SKU-00015,1984,1730,1878,2705,728,4,0.877,0.411,10.47
SKU-00016,353,269,383,4603,1121,30,0.777,0.175,2.89
SKU-00017,641,463,916,35,962,58,0.951,0.304,0.72
SKU-00018,820,796,1100,4632,200,52,0.818,0.026,8.91
SKU-00019,1094,942,1148,231,928,58,0.895,0.278,10.9
SKU-00020,1698,1998,1816,3112,589,22,0.866,0.286,8.47
SKU-00021,1009,1039,1013,1781,399,8,0.789,0.251,10.38
SKU-00022,147,141,239,4418,207,13,0.776,0.426,7.44
SKU-00023,2193,1833,1785,3146,1047,32,0.789,0.379,6.69
SKU-00024,690,673,573,103,1111,41,0.84,0.187,9.74
SKU-00025,1113,1011,1091,2809,804,41,0.69,0.42,11.91
SKU-00026,1346,1168,1469,237,467,29,0.819,0.26,6.84
SKU-00027,785,684,757,2986,560,45,0.87,0.023,7.99
SKU-00028,154,136,131,2885,563,42,0.755,0.316,8.23
SKU-00029,635,645,729,4169,1080,22,0.947,0.27,12.33
SKU-00030,1268,1092,1513,2535,219,47,0.962,0.153,10.54
SKU-00031,1519,1392,1714,4940,791,52,0.755,0.205,14.45
SKU-00032,1286,1490,1523,1163,613,12,0.823,0.359,7.57
SKU-00033,603,509,566,4174,966,35,0.987,0.318,10.89
SKU-00034,311,386,311,1811,275,31,0.777,0.315,12.58
SKU-00035,1551,1335,1929,2736,271,46,0.665,0.174,7.72
SKU-00036,1162,1188,1057,1909,198,8,0.975,0.037,4.03
SKU-00037,1183,1255,1054,1513,1109,50,0.766,0.062,5.29
SKU-00038,1578,1786,1716,101,597,38,0.911,0.153,10.97
SKU-00039,821,862,777,2867,111,46,0.832,0.28,12.06
SKU-00040,1746,1850,1556,1681,530,17,0.964,0.384,2.52
SKU-00041,2006,2345,1726,4615,175,50,0.805,0.213,7.58
SKU-00042,1453,1663,1358,3496,714,50,0.82,0.327,13.45
SKU-00043,1269,1233,1422,765,142,27,0.872,0.093,1.55
SKU-00044,456,486,425,1572,265,11,0.886,0.28,8.51
SKU-00045,227,244,219,83,860,46,0.796,0.339,8.26
SKU-00046,1660,1851,1743,3496,778,34,0.913,0.354,3.16
SKU-00047,184,217,179,4085,467,14,0.787,0.327,7.18
SKU-00048,868,856,1064,860,589,43,0.651,0.272,11.65
SKU-00049,567,546,737,2118,797,13,0.857,0.323,5.35
SKU-00050,1722,1360,1607,3140,639,46,0.987,0.142,7.29
SKU-00051,486,630,503,3669,525,59,0.707,0.325,10.11
SKU-00052,223,232,221,1745,621,25,0.837,0.44,5.79
SKU-00053,948,1105,1158,2795,685,17,0.876,0.273,5.23
SKU-00054,710,841,852,428,1064,25,0.657,0.161,5.5
SKU-00055,515,486,588,4670,714,57,0.891,0.069,7.09
SKU-00056,1780,2041,1885,4860,99,38,0.682,0.213,3.68
SKU-00057,258,198,335,3926,840,27,0.748,0.074,7.83
SKU-00058,547,535,518,3176,995,39,0.715,0.288,2.83
SKU-00059,522,492,668,458,1098,39,0.729,0.277,5.12
SKU-00060,448,457,364,1699,364,48,0.913,0.177,0.7
SKU-00061,487,479,535,4372,1003,14,0.865,0.439,8.45
SKU-00062,536,618,633,4801,74,56,0.678,0.394,13.47
SKU-00063,1950,2641,1918,2241,420,56,0.894,0.221,12.13
SKU-00064,728,725,798,3988,767,14,0.854,0.091,0.71
SKU-00065,738,656,657,17,881,27,0.752,0.36,12.53
SKU-00066,1022,1009,818,3211,488,15,0.957,0.265,5.29
SKU-00067,548,633,467,2994,748,56,0.704,0.145,4.24
SKU-00068,272,170,336,3813,642,35,0.664,0.088,5.62
SKU-00069,1522,968,1733,946,741,24,0.976,0.378,14.57
SKU-00070,1498,1537,1417,3592,439,50,0.717,0.063,8.65
SKU-00071,1970,1726,1736,138,479,25,0.814,0.166,3.18
SKU-00072,137,109,149,992,391,41,0.746,0.288,9.39
SKU-00073,1631,1984,1541,2327,777,32,0.886,0.111,2.06
SKU-00074,962,976,909,2656,325,39,0.831,0.18,14.52
SKU-00075,1710,1851,1675,4116,626,16,0.979,0.083,4.27
SKU-00076,1018,811,1191,695,1199,11,0.989,0.205,14.42
SKU-00077,1153,810,984,4690,969,29,0.737,0.066,13.94
SKU-00078,1310,1078,1304,3891,1018,12,0.76,0.332,4.43
SKU-00079,1031,815,844,3793,310,6,0.962,0.347,0.55
SKU-00080,1604,2340,1815,4847,1007,58,0.651,0.396,4.71
SKU-00081,1108,1169,1138,661,398,46,0.843,0.436,8.74
SKU-00082,809,664,1143,1031,50,37,0.874,0.431,6.94
SKU-00083,1968,1605,1598,3084,730,15,0.918,0.191,1.57
SKU-00084,1471,1443,1380,2029,919,30,0.656,0.22,12.08
SKU-00085,1333,1590,1527,2172,637,16,0.795,0.403,1.81
SKU-00086,540,579,523,4950,300,11,0.809,0.43,3.81
SKU-00087,155,124,129,4542,940,15,0.791,0.055,9.65
SKU-00088,848,771,935,3410,385,59,0.795,0.409,12.61
SKU-00089,627,644,579,4979,1166,47,0.781,0.347,2.77
SKU-00090,204,203,204,974,1100,44,0.872,0.415,9.9
SKU-00091,1089,922,986,829,164,19,0.757,0.107,8.94
SKU-00092,241,198,228,2426,324,18,0.718,0.237,7.29
SKU-00093,599,699,567,3089,119,51,0.873,0.095,12.73
SKU-00094,1564,1148,1512,1719,143,56,0.668,0.26,12.93
SKU-00095,925,988,743,382,325,52,0.812,0.223,9.49
SKU-00096,494,675,632,1586,377,13,0.937,0.365,9.47
SKU-00097,792,894,780,485,761,31,0.845,0.303,4.24
SKU-00098,1064,1025,831,1340,166,15,0.823,0.325,2.83
SKU-00099,1844,1368,1418,1282,257,22,0.947,0.389,6.55
SKU-00100,502,494,489,3643,593,36,0.795,0.379,6.04
SKU-00101,211,224,217,309,774,20,0.666,0.404,2.18
SKU-00102,327,390,350,388,265,5,0.818,0.268,3.08
SKU-00103,1607,1608,1423,1499,94,25,0.738,0.366,2.53
SKU-00104,964,862,876,335,1145,10,0.783,0.223,14.31
SKU-00105,1917,1873,1522,2487,1035,47,0.964,0.1,9.02
SKU-00106,179,199,146,339,763,13,0.878,0.024,0.56
SKU-00107,834,804,963,4838,1087,54,0.958,0.08,13.94
SKU-00108,1388,1518,1247,1457,546,35,0.856,0.099,12.99
SKU-00109,2027,2249,1614,2878,996,8,0.929,0.146,11.78
SKU-00110,1513,1064,1590,1828,233,31,0.859,0.426,12.78
SKU-00111,1230,1578,1509,2995,964,25,0.948,0.372,1.67
SKU-00112,786,880,676,1044,333,40,0.973,0.027,4.81
SKU-00113,1450,1660,1504,1886,912,19,0.901,0.031,7.89
SKU-00114,2070,1878,1854,2788,733,25,0.927,0.11,10.88
SKU-00115,1452,1798,1363,818,907,55,0.752,0.088,3.01
SKU-00116,940,1080,1685,3793,561,49,0.775,0.271,7.98
SKU-00117,502,708,418,989,476,42,0.936,0.106,12.8
SKU-00118,993,882,990,1041,602,52,0.829,0.243,10.19
SKU-00119,1941,2441,1940,1718,758,19,0.748,0.265,3.21
SKU-00120,2063,1648,1865,4437,951,12,0.86,0.108,2.08
SKU-00121,135,126,119,1035,500,41,0.67,0.336,2.8
SKU-00122,1345,1939,1603,1085,673,56,0.927,0.145,4.79
SKU-00123,2040,2596,1740,4452,1119,33,0.723,0.067,14.49
SKU-00124,1159,972,1088,3861,713,4,0.753,0.03,8.34
SKU-00125,605,462,742,1535,104,23,0.651,0.174,8.14
SKU-00126,442,473,477,4247,890,26,0.688,0.437,12.9
SKU-00127,880,965,886,394,941,3,0.746,0.177,11.96
SKU-00128,585,610,586,935,730,34,0.969,0.32,10.42
SKU-00129,1158,1321,961,3170,674,14,0.735,0.178,12.54
SKU-00130,350,156,670,1210,141,47,0.857,0.182,13.52
SKU-00131,1474,1485,1609,4801,1194,8,0.741,0.097,2.85
SKU-00132,1428,1290,1261,1425,1158,37,0.722,0.421,5.04
SKU-00133,1085,1054,1038,3781,448,40,0.87,0.347,6.27
SKU-00134,515,543,412,1738,799,37,0.969,0.192,2.52
SKU-00135,158,154,159,2485,850,4,0.953,0.041,11.26
SKU-00136,2121,2147,1988,2322,1197,38,0.698,0.074,12.02
SKU-00137,1794,2087,1743,4724,1090,10,0.746,0.31,12.66
SKU-00138,1457,1343,1347,4685,361,57,0.834,0.266,13.13
SKU-00139,438,457,417,341,216,50,0.966,0.416,14.55
SKU-00140,2132,1866,1709,2296,852,31,0.708,0.084,3.12
SKU-00141,1188,1439,852,283,873,20,0.955,0.388,6.96
SKU-00142,1009,840,1039,1797,197,13,0.681,0.079,9.92
SKU-00143,1827,1805,1807,3000,394,26,0.931,0.055,9.79
SKU-00144,1328,1405,1293,2706,58,23,0.814,0.32,6.02
SKU-00145,309,340,328,3886,597,18,0.943,0.267,10.02
SKU-00146,388,427,294,1682,303,32,0.878,0.03,4.17
SKU-00147,2053,2110,1782,436,749,38,0.717,0.251,3.57
SKU-00148,92,93,97,3701,503,52,0.796,0.145,5.55
SKU-00149,215,221,164,1842,948,28,0.677,0.38,11.56
SKU-00150,875,845,819,4026,1165,53,0.914,0.056,10.5
SKU-00151,499,581,593,287,412,26,0.831,0.26,8.18
SKU-00152,1099,1285,961,1946,611,43,0.905,0.41,12.87
SKU-00153,417,409,409,2244,136,35,0.813,0.367,0.77
SKU-00154,1141,938,970,1369,1075,46,0.776,0.036,2.43
SKU-00155,294,335,335,2257,1024,27,0.935,0.433,2.53
SKU-00156,771,588,896,729,882,26,0.923,0.424,14.08
SKU-00157,1557,1622,1773,4233,547,30,0.897,0.357,1.22
SKU-00158,821,853,743,2188,1150,50,0.961,0.426,11.35
SKU-00159,1809,1456,1846,3910,570,32,0.941,0.184,2.64
SKU-00160,104,123,85,3859,1168,58,0.937,0.418,2.07
SKU-00161,208,210,164,230,348,43,0.924,0.179,8.74
SKU-00162,1075,697,961,3122,930,10,0.74,0.403,1.83
SKU-00163,1423,1475,1218,4086,638,38,0.712,0.401,11.75
SKU-00164,2153,2377,1904,3875,901,23,0.677,0.397,5.38
SKU-00165,1415,1642,1738,4722,364,23,0.942,0.285,13.9
SKU-00166,1126,1179,1191,133,425,41,0.972,0.108,6.35
SKU-00167,1438,1599,1558,3873,58,13,0.707,0.234,5.23
SKU-00168,153,191,160,2563,381,20,0.778,0.272,2.03
SKU-00169,989,1040,1036,1821,221,51,0.713,0.24,5.59
SKU-00170,1634,1421,1348,362,127,46,0.731,0.155,6.25
SKU-00171,1006,1201,825,2109,979,19,0.667,0.302,9.66
SKU-00172,1468,1265,1838,3790,495,22,0.955,0.368,2.01
SKU-00173,1542,1606,1283,85,154,21,0.988,0.151,10.18
SKU-00174,334,231,412,189,474,3,0.928,0.096,9.19
SKU-00175,2079,2275,1988,1877,437,55,0.843,0.362,7.73
SKU-00176,1941,1858,1852,2064,51,39,0.669,0.327,7.31
SKU-00177,413,370,542,3984,581,54,0.905,0.365,12.61
SKU-00178,706,593,590,676,946,49,0.928,0.279,8.86
SKU-00179,188,191,196,712,996,47,0.818,0.189,11.59
SKU-00180,932,1038,935,2444,829,11,0.88,0.21,4.64
SKU-00181,685,779,867,4682,1059,59,0.797,0.373,3.9
SKU-00182,1114,1012,1452,4648,579,52,0.849,0.309,5.18
SKU-00183,399,423,296,281,394,44,0.849,0.17,12.72
SKU-00184,177,140,184,3985,707,18,0.889,0.419,3.0
SKU-00185,1407,1643,1479,1358,180,32,0.978,0.357,11.77
SKU-00186,800,767,831,3050,680,23,0.666,0.298,7.52
SKU-00187,916,1110,921,4564,447,5,0.703,0.143,3.38
SKU-00188,1273,1629,1296,4236,1056,53,0.707,0.046,12.24
SKU-00189,1759,1550,1823,4872,959,17,0.959,0.401,8.47
SKU-00190,593,615,526,796,1090,39,0.701,0.132,4.04
SKU-00191,1572,1758,1549,2494,436,23,0.81,0.178,14.01
SKU-00192,562,503,555,3917,518,7,0.652,0.366,7.55
SKU-00193,1494,1468,1542,29,934,40,0.887,0.276,11.5
SKU-00194,227,211,321,2213,108,57,0.779,0.273,14.23
SKU-00195,1017,976,1378,3563,1041,35,0.85,0.151,12.77
SKU-00196,742,642,684,2119,801,51,0.92,0.233,11.66
SKU-00197,138,118,138,172,183,19,0.747,0.212,0.6
SKU-00198,1496,1707,1899,1302,1134,3,0.927,0.362,13.99
SKU-00199,590,706,454,1118,469,25,0.807,0.361,6.1
SKU-00200,1275,1060,1210,897,893,28,0.938,0.084,2.22
SKU-00201,837,624,848,2397,811,32,0.899,0.074,14.65
SKU-00202,1891,1576,1671,891,329,31,0.755,0.165,4.81
SKU-00203,253,231,252,1687,1196,22,0.913,0.056,8.98
SKU-00204,432,456,526,1451,127,57,0.954,0.134,0.64
SKU-00205,406,458,465,397,125,57,0.949,0.359,11.16
SKU-00206,1491,1974,1402,3732,1118,24,0.664,0.422,12.16
SKU-00207,149,167,154,3688,249,37,0.724,0.205,4.93
SKU-00208,1154,1455,1180,4243,701,19,0.926,0.083,14.3
SKU-00209,406,488,393,920,598,16,0.949,0.198,3.51
SKU-00210,1171,737,1267,3833,228,45,0.764,0.285,5.59
SKU-00211,1321,1216,1336,2394,812,34,0.775,0.304,2.0
SKU-00212,429,484,373,2608,770,42,0.873,0.274,2.28
SKU-00213,82,87,85,2382,732,49,0.82,0.36,6.88
SKU-00214,1457,1158,1681,3373,131,48,0.701,0.297,4.88
SKU-00215,1044,1383,1224,752,501,48,0.921,0.26,14.97
SKU-00216,1667,1881,1361,1101,570,53,0.884,0.111,14.79
SKU-00217,2116,2555,1545,720,1163,16,0.917,0.131,10.19
SKU-00218,974,1069,892,2158,832,27,0.666,0.315,10.08
SKU-00219,270,209,276,3047,1181,13,0.989,0.203,14.1
SKU-00220,577,686,644,363,468,5,0.681,0.023,8.69
SKU-00221,767,1017,803,4106,644,13,0.782,0.324,9.73
SKU-00222,1427,1105,1707,3618,1153,26,0.736,0.432,12.7
SKU-00223,667,519,754,3828,256,23,0.84,0.104,10.15
SKU-00224,557,556,625,1068,445,20,0.839,0.205,14.82
SKU-00225,1682,1250,1408,3273,982,41,0.681,0.265,3.48
SKU-00226,740,751,672,3465,481,31,0.966,0.448,1.66
SKU-00227,1946,1773,1653,4757,761,13,0.798,0.066,1.92
SKU-00228,210,233,263,2814,57,38,0.656,0.415,7.91
SKU-00229,1487,1628,1326,3405,334,20,0.651,0.337,3.98
SKU-00230,545,506,535,1219,68,7,0.858,0.234,8.45
SKU-00231,1824,1801,1681,2980,398,39,0.845,0.411,6.02
SKU-00232,1000,1009,1115,3546,639,54,0.705,0.449,5.49
SKU-00233,983,886,852,644,654,28,0.847,0.228,9.14
SKU-00234,472,413,465,3502,490,11,0.652,0.129,8.8
SKU-00235,930,933,1088,1529,955,13,0.732,0.414,9.21
SKU-00236,247,285,188,217,211,9,0.924,0.031,8.56
SKU-00237,784,770,748,1307,975,4,0.809,0.167,9.95
SKU-00238,102,111,99,4904,1198,55,0.819,0.31,11.72
SKU-00239,1390,1263,1410,2635,709,56,0.922,0.337,6.01
SKU-00240,1115,1254,1117,1877,1094,31,0.78,0.232,7.43
SKU-00241,421,226,509,2705,492,33,0.801,0.179,7.95
SKU-00242,240,240,247,2776,231,53,0.779,0.049,8.82
SKU-00243,1210,1775,1309,2460,68,42,0.931,0.326,11.22
SKU-00244,1605,1698,1873,3007,825,20,0.878,0.253,2.14
SKU-00245,101,107,117,3921,479,18,0.962,0.14,8.37
SKU-00246,133,178,122,540,775,50,0.798,0.121,2.95
SKU-00247,2081,1746,1736,343,719,9,0.821,0.068,5.21
SKU-00248,1271,1087,1261,4086,473,57,0.961,0.103,1.68
SKU-00249,160,160,146,1965,304,21,0.867,0.221,9.16
SKU-00250,330,328,272,147,541,6,0.687,0.103,3.29
SKU-00251,1349,1112,1729,3505,542,49,0.74,0.311,10.32
SKU-00252,1072,1030,1180,4310,83,24,0.67,0.445,11.55
SKU-00253,203,183,198,3625,1141,40,0.753,0.075,1.05
SKU-00254,1207,1100,1175,2522,1183,11,0.683,0.168,4.36
SKU-00255,1242,1318,1121,976,607,15,0.816,0.439,10.39
SKU-00256,2148,2213,1954,940,662,19,0.71,0.405,7.94
SKU-00257,644,741,542,510,894,46,0.89,0.37,5.7
SKU-00258,980,1123,1123,1108,477,51,0.872,0.365,7.26
SKU-00259,1939,2059,1755,1894,698,3,0.736,0.05,0.71
SKU-00260,2021,2242,1745,4123,903,9,0.786,0.051,11.99
SKU-00261,1173,1069,1346,3442,588,15,0.956,0.137,11.39
SKU-00262,1413,764,1277,2924,1099,50,0.986,0.086,6.7
SKU-00263,1743,1584,1919,397,530,47,0.937,0.401,12.5
